uid,education,department,grade,gender,headpic,politicalstatus,religion,sourcearea,residence,fatherage,fathereducation,motherage,mothereducation,brothersistercount,parentsmarriage,marriage,isrecommended,isrecommendedbycontest,isartstudent,nativeplace,fathersta,mothersta
7111,7,86,6,1,1,4,1,14,2,45,7,44,4,0,1,1,2,2,2,14,1,1
7112,7,24,6,1,1,4,1,26,2,45,8,45,7,0,1,1,2,2,2,26,1,1
7113,7,24,6,1,1,2,1,33,2,60,2,60,4,0,1,1,1,2,2,33,1,1
7114,7,24,6,1,6,3,1,3,2,44,4,46,3,0,1,1,2,2,1,3,1,1
7115,7,31,6,0,8,4,1,7,2,43,4,42,4,0,1,1,2,2,2,7,1,1
7116,7,31,6,1,1,4,1,5,1,42,2,42,2,1,2,1,2,2,2,5,1,1
7117,7,31,6,1,1,4,1,30,2,44,7,41,7,0,1,1,2,2,2,30,1,1
7118,7,31,6,1,1,4,1,17,1,41,3,42,3,0,1,1,2,2,2,17,1,1
7119,7,31,6,0,7,4,1,32,2,46,6,44,6,0,1,1,2,2,2,32,1,1
7120,7,31,6,1,1,4,1,18,2,57,3,46,6,0,1,1,2,2,2,18,1,1
7121,7,31,6,0,8,4,1,12,2,46,7,45,7,0,1,1,2,2,2,12,1,1
7122,7,31,6,1,3,4,1,12,2,45,3,47,3,1,1,1,2,2,2,12,1,1
7123,7,31,6,0,7,2,1,33,2,49,4,46,1,1,1,1,1,2,2,33,1,1
7124,7,4,6,1,2,4,1,25,2,43,6,41,6,0,1,1,2,2,2,25,1,1
7125,7,4,6,1,8,4,1,17,2,44,7,43,7,0,1,1,2,2,2,17,1,1
7126,7,10,6,1,3,4,1,30,2,49,6,45,7,0,1,1,2,2,2,31,1,1
7127,7,25,6,0,3,4,1,9,2,46,4,44,3,2,1,1,2,2,2,9,1,1
7128,7,25,6,0,2,4,1,10,2,52,7,46,7,0,2,1,2,2,2,9,1,1
7129,7,25,6,0,8,4,1,29,2,44,7,44,7,0,4,1,2,2,2,29,1,1
7130,7,32,6,1,9,3,1,9,1,61,2,61,2,3,2,1,1,2,2,9,1,1
7131,7,32,6,0,1,4,1,2,2,48,4,50,4,0,1,1,1,2,2,2,1,1
7132,7,32,6,1,1,4,1,2,2,51,8,49,9,0,1,1,2,2,2,23,1,1
7133,7,32,6,0,9,4,1,5,1,43,2,41,2,2,1,1,2,2,2,5,1,1
7134,7,48,6,1,2,4,1,23,2,44,3,44,4,0,1,1,2,2,2,23,1,1
7135,7,48,6,1,1,4,1,30,1,43,2,40,3,0,1,1,2,2,2,30,1,1
7137,7,25,6,0,1,4,1,2,2,46,8,44,8,0,1,1,2,2,2,2,1,1
7138,7,25,6,0,1,4,1,2,2,46,6,44,8,1,1,1,1,2,2,2,1,1
7139,7,25,6,0,6,4,1,2,2,46,9,45,8,0,1,1,2,2,2,19,1,1
7140,7,25,6,1,8,4,1,11,1,54,4,53,4,1,1,1,2,2,2,11,1,1
7141,7,25,6,1,1,4,1,15,2,48,7,44,6,0,1,1,1,2,2,15,1,1
7142,7,25,6,1,1,4,1,5,2,46,6,45,6,0,1,1,2,2,2,4,1,2
7143,7,25,6,1,1,3,1,25,2,49,4,44,3,0,1,1,2,2,2,23,1,1
7144,7,32,6,0,1,4,4,21,2,47,7,44,7,2,1,1,2,2,2,21,1,1
7145,7,32,6,1,1,4,1,18,1,42,3,51,4,1,1,1,2,2,2,18,1,1
7146,7,43,6,1,1,4,1,8,2,54,4,53,7,0,1,1,2,2,2,4,1,1
7148,7,18,6,0,1,2,1,36,2,49,7,49,4,1,1,1,2,2,2,36,1,1
7149,7,18,6,1,1,2,1,2,2,50,6,46,6,2,1,1,2,2,2,2,1,1
7150,7,18,6,0,1,2,2,2,2,53,9,51,9,2,1,1,2,2,2,2,1,1
7151,7,18,6,0,7,4,1,36,2,56,6,38,1,2,4,1,2,2,2,36,1,1
7152,7,126,6,1,10,4,1,7,2,46,7,46,7,0,1,1,2,2,1,7,1,1
7153,7,126,6,1,7,4,1,30,2,58,6,49,6,1,1,1,2,2,2,30,1,1
7154,7,126,6,0,2,4,1,14,2,47,6,44,7,0,1,1,1,2,2,14,1,1
7155,7,126,6,1,2,4,1,32,2,43,7,43,7,0,1,1,1,2,2,32,1,1
7156,7,25,6,1,2,4,1,21,2,50,4,43,4,0,1,1,2,2,2,25,1,1
7157,7,25,6,1,3,4,2,32,2,44,7,45,7,0,4,1,2,2,2,32,1,1
7158,7,25,6,1,3,4,1,18,2,46,3,47,6,0,1,1,2,2,2,18,1,1
7159,7,46,6,1,1,4,1,31,2,43,7,41,7,2,5,1,1,2,2,31,1,1
7162,7,126,6,1,3,4,1,23,2,48,4,43,4,1,1,1,1,2,2,23,1,1
7163,7,127,6,0,9,4,1,9,2,47,7,42,7,0,1,1,1,2,2,9,1,1
7164,7,127,6,0,1,4,1,22,2,43,4,43,7,1,4,1,1,2,2,25,1,1
7165,7,127,6,1,1,4,1,2,2,47,7,46,7,0,1,1,1,2,2,14,1,1
7166,7,126,6,1,2,4,1,15,2,45,6,38,6,1,1,1,2,2,2,15,1,1
7167,7,126,6,1,1,4,1,15,2,44,4,40,3,2,1,1,2,2,2,15,1,1
7168,7,127,6,1,3,4,1,5,2,45,3,45,4,1,1,1,2,2,2,6,1,1
7169,7,28,6,1,1,4,1,6,2,45,9,45,7,0,1,1,2,1,2,6,1,1
7170,7,28,6,1,1,4,1,16,2,44,7,43,7,0,1,1,2,2,2,16,1,1
7171,7,46,6,0,1,4,1,2,2,51,7,44,7,0,1,1,2,2,2,2,1,1
7172,7,46,6,1,1,4,1,2,2,45,7,43,6,0,1,1,2,2,2,2,1,1
7173,7,46,6,0,7,4,1,11,1,47,3,40,2,4,1,1,2,2,2,11,1,1
7178,7,20,6,1,2,2,1,36,2,52,6,55,4,2,1,1,2,2,2,36,1,1
7180,7,16,6,1,1,2,1,6,2,47,6,43,6,0,4,1,2,2,2,6,1,1
7181,7,16,6,0,9,4,1,2,2,45,7,44,6,1,5,1,2,2,2,2,1,1
7182,7,16,6,0,10,2,1,34,2,48,7,49,8,2,1,1,2,2,2,7,1,1
7183,7,28,6,1,1,4,1,31,2,49,8,46,7,0,1,1,2,2,2,31,1,1
7184,7,28,6,0,7,4,1,2,2,48,7,45,6,0,1,1,2,2,2,2,1,1
7185,7,28,6,0,7,4,1,9,2,41,3,42,6,0,4,1,2,2,2,13,1,1
7186,7,28,6,0,10,4,1,9,2,46,6,46,4,1,1,1,2,2,2,29,1,1
7187,7,28,6,1,2,4,1,22,2,48,7,48,7,0,1,1,2,2,2,17,1,1
7188,7,28,6,0,7,4,1,27,1,52,6,53,1,1,1,1,2,2,2,27,1,1
7189,7,46,6,1,2,4,1,4,2,48,4,42,7,0,1,1,2,2,2,4,1,1
7190,7,46,6,0,9,4,1,4,2,44,4,43,7,0,1,1,2,2,2,4,1,1
7191,7,46,6,0,7,4,2,12,2,45,7,44,7,0,1,1,2,2,2,12,1,1
7192,7,46,6,1,8,4,1,26,2,56,6,52,4,3,1,1,2,2,2,26,1,1
7196,7,24,6,0,10,2,1,36,2,52,7,49,7,1,1,1,2,2,2,36,1,1
7199,7,24,6,1,1,2,1,36,2,50,7,51,7,2,1,1,2,2,2,2,1,1
7201,7,18,6,1,1,4,1,24,2,48,4,49,4,4,1,1,2,2,2,24,1,1
7202,7,18,6,0,4,4,1,5,1,46,3,40,3,2,1,1,2,2,2,5,1,1
7203,7,28,6,1,2,4,1,7,2,46,7,43,6,0,1,1,2,2,2,7,2,1
7204,7,28,6,0,10,4,1,10,2,43,7,44,7,0,1,1,2,2,2,10,1,1
7205,7,28,6,0,8,2,1,29,1,49,3,48,4,2,1,1,2,2,2,29,1,1
7207,7,28,6,1,1,4,1,2,2,51,9,53,8,0,1,1,2,2,2,2,1,1
7208,7,46,6,0,7,4,1,6,2,53,7,44,7,1,1,1,1,2,2,13,1,1
7209,7,46,6,1,2,4,1,29,2,43,7,44,6,0,1,1,1,2,2,29,1,1
7210,7,24,6,0,1,2,2,36,2,58,7,54,7,1,1,1,2,2,2,36,1,1
7211,7,24,6,1,1,2,1,36,2,57,1,53,1,1,1,1,2,2,2,36,1,1
7215,7,24,6,1,3,2,3,36,2,51,6,63,2,1,1,1,2,2,2,36,1,1
7216,7,18,6,0,7,2,1,33,2,52,9,48,7,4,4,1,2,2,2,13,1,1
7217,7,28,6,0,2,3,1,2,2,51,8,47,8,0,1,1,2,2,2,2,1,1
